Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic function (product.metafields.shopify.cosmetic-function),Material (product.metafields.shopify.material),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Skin care effect (product.metafields.shopify.skin-care-effect),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
wooden-soap-dish,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/BC9EEF7C-8C49-44C7-ABED-168D25F3C5E5.jpg?v=1738521552,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountain-man-shampoo-body-bar,Mountain Man (Shampoo & Body Bar),"<p><span>This all-in-one shampoo and body bar is men and women. This soap is 100% all natural and palm-oil free. </span><span>Exfoliate and cleanse with this masculine and rejuvenating mountain man soap. </span><span>We use coconut milk to give this bar a creamy lather making it a perfect shampoo bar. This bar soap has a </span><span>unique blend </span><span>scented with the essential oils of Cedarwood, </span><span>Fir Needle, Patchouli and Juniper Berry </span></p>
<p><span><span style=""text-decoration: underline;""><strong>INGREDIENT</strong></span>:</span></p>
<p>Olive Oil, Coconut Oil, Cocoa Butter, Castor Oil, Avocado Oil, Distilled Water, Sodium Hydroxide, Coconut Milk, Essential Oil Blend, Honey, Walnut Shell Powder, Cocoa Powder, Honey</p>
<p><span style=""text-decoration: underline;""><strong>Size: </strong></span> 5-6 oz bars</p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>HOW TO MAKE YOUR SOAP LAST LONGER</strong></span></p>
<p><span>Place your soap on a wooden or any soap dish that drains (not flat on a tile or in a non-draining dish) it will definitely make your soap last longer.</span></p>
<p> </p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/98CA7DA4-B7D9-45FF-AE51-3114A6A01808.jpg?v=1737834841,1,"",false,,,2503,,,,,,,,,,,,'1,adults,,,,,,,,,,all-skin-types,,lb,,,true,,,active
mountain-man-shampoo-body-bar,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/7A8735BB-56E2-4052-80E0-EC8E9658589C.jpg?v=1737834799,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wild-lavender-whipped-body-butter,Wild Lavender Whipped Body Butter,"<p>Our Wild Lavender all-natural whipped body butter is made with just a few ingredients which are <strong>Avocado Butter,</strong> <strong>Mango Butter, Jojoba Oil</strong>, <strong>Arrowroot Powder </strong>and blended <strong>Essential Oils. </strong>Since this body butter is whipped, it is quite lightweight. </p>
<p><span>This body butter is packaged in a <strong>6 oz glass jar</strong> with <strong>3.5 oz</strong> <strong>of butter in each jar. </strong><br><br></span></p>
<p><span style=""text-decoration: underline;""><strong>Ingredients:</strong></span></p>
<p><span style=""text-decoration: underline;""></span>Avocado Butter, Mango Butter, Jojoba Oil, Arrowroot powder, Essential Blends of (Lavender, Fir needle, Patchouli, Juniper berry) <strong>smells identical to our soap bar. </strong></p>
<p> </p>
<p><span> <span style=""text-decoration: underline;""><strong>How to use:</strong></span></span></p>
<p><span>Simply put a small amount on your fingers and rub into skin, just as you would with lotion (<strong>a little goes a long way)</strong> </span>Keep in a cool dark place. If your body butter melts, you can put it in the fridge to harden.  <br><br></p>
<p><strong></strong><strong>This body butter does not contain any preservatives, please keep away from water.</strong></p>
<p> </p>
<p><span> </span></p>
<p><span> </span></p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Skin Care > Lotions & Moisturizers,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/6307CC66-60D1-4FA8-A630-A3A2F7756251.jpg?v=1735248640,1,"",false,,,,,,,,,,,,,,,'1,adults,,avocado-oil; jojoba-oil,moisturizing,,glass-container,all-natural-ingredients,cream,,,all-skin-types,,lb,,,true,,,active
lemon-scrub-exfoliating-soap,Lemon Scrub ( Exfoliating Soap),"<p><span>100 % all natural, palm-oil free soap made with a base of <strong>Aloe Vera. </strong>With nourishing ingredients like <strong>Avocado</strong> and <strong>cocoa butter.</strong> Throughout this bar there’s added poppyseeds to help exfoliate the skin. <br><br><br></span></p>
<p><span style=""text-decoration: underline;""><strong>Ingredients:</strong></span></p>
<p><span>Olive Oil, Coconut Oil, Organic Cocoa Butter, Aloe Vera Liquid, Distilled Water, Sodium Hydroxide, Avocado Oil, Castor Oil, Essential Oil Blends of lemon + litsea cubeba, Poppy Seeds, Yellow Brazilian Clay.</span></p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>Scent:</strong></span></p>
<p><span> The scent is a lemony, uplifting and light.</span></p>
<p><strong>These bars weigh about 5-6 oz.</strong></p>
<p> </p>
<p><strong><span style=""text-decoration: underline;"">HOW TO MAKE YOUR SOAP LAST LONGER</span></strong></p>
<p><span>Place your soap on a wooden or any soap dish that drains (not flat on a tile or in a non-draining dish) it will definitely make your soap last longer.</span></p>
<p> </p>
<p> </p>
<p> </p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/CBD8AED1-0216-4893-8AEA-796498111394.jpg?v=1735225964,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,all-skin-types,,lb,,,true,,,active
lemon-scrub-exfoliating-soap,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/E5182795-CF71-44ED-B7B1-286717988707.jpg?v=1735225964,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eucalyptus-mint,Eucalyptus Mint,"<p><span><strong>Eucalyptus Mint Soap </strong></span></p>
<p><span>Indulge in the refreshing and stimulating blend of <strong>Eucalyptus</strong><strong>,</strong> <strong>Peppermint</strong> and <strong>Spearmint </strong>all-natural handmade soap. This bar is crafted </span><span>with hydrating coconut oil and soothing coconut milk, it provides a sweet and gentle lather that's perfect for everyday use.</span></p>
<p><span><strong>Fragrance Notes:</strong> Fresh, icy, and minty</span></p>
<p><span><strong>Weight:</strong> Each bar weighs approximately<strong> 5-6 oz.</strong></span></p>
<p><span><strong>Ingredients</strong>: Olive Oil, Organic Coconut Oil, Shea Butter, castor oil, Distilled Water, Sodium Hydroxide, Aloe Vera, essential oil blend of: eucalyptus, peppermint and spearmint, Kaolin Clay and dry peppermint leaves.</span></p>
<p> </p>
<p><strong>HOW TO MAKE YOUR SOAP LAST LONGER</strong></p>
<p><span>Place your soap on a wooden or any soap dish that drains (not flat on a tile or in a non-draining dish) it will definitely make your soap last longer. </span></p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/4A1180B5-8956-44B6-BE72-86A1AB061EB4.jpg?v=1733114634,1,"",false,,,,,adult,,,,,,,,,,'1,universal,,,,,,,,eucalyptus,,all-skin-types,,lb,,,true,,,active
eucalyptus-mint,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/27421E14-1A00-4786-B845-EFF12655CFE7.jpg?v=1733114634,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eucalyptus-mint,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/EAFF0F77-2F3C-435D-A349-46E9AF590279.jpg?v=1748087965,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemon-honey,LEMON HONEY,"<p><span><strong>Lemon Honey </strong>soap is scented</span><span> only with pure essential oils, this soap contains <strong>fresh goat milk</strong>, <strong>soothing colloidal</strong> <strong>oatmeal</strong>, and <strong>raw honey</strong>, but with a sweet <strong>lemon scent</strong>. It is all-natural and palm-oil free.</span></p>
<p> </p>
<p><span><span style=""text-decoration: underline;""><strong>Ingredients:</strong></span><br></span></p>
<p><span><span style=""text-decoration: underline;""></span></span>Olive Oil, Coconut Oil, Goat Milk, Distilled Water, Sodium Hydroxide, Shea Butter, Cocoa Butter, Avocado Oil, Castor Oil, Essential Oil Blend { lemon + litsea cubeba + benzoin resinoid + lavender }, colloidal oatmeal, raw honey, bee pollen powder, and topped with oats and lavender buds.</p>
<p><span style=""text-decoration: underline;""><strong>Size:</strong></span></p>
<p><span style=""text-decoration: underline;""></span><strong>• </strong>these bars weigh about 5-6 oz in weight</p>
<p> </p>
<p><strong>TIPS FOR EXTENDING THE LIFE OF YOUR SOAP</strong></p>
<p><span>Place your soap in a dish that drains (not flat on the tile or in a non-draining dish!) and ensure that it doesn't get wet between uses. This is optional, but it will definitely make your soap last longer.</span></p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,"","",true,Title,Default Title,,,,,,,,SOLD OUT,0.0,shopify,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0857/2570/8562/files/9D64B056-48D0-4FBE-AF9E-0C866033FFE5.jpg?v=1739200910,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,all-skin-types,,lb,,,true,,,active
lemon-honey,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/98F5799A-4B0E-4855-8426-202F329E9F42.jpg?v=1739200910,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soothing-lavender,Soothing Lavender,"<p>This soap combines the gentle moisturizing and skin healing properties of organic oils with skin soothing colloidal oats. Our lavender bar contains purple Brazilian clay and ground oats which are great for skin that needs extra pampering! </p>
<p><span style=""text-decoration: underline;""><strong>Ingredients:</strong></span></p>
<p> </p>
<p>Olive Oil, Coconut Oil, Cocoa Butter, Shea Butter, Avocado, Castor Oil, Sodium Hydroxide, Water, Colloidal Oats, Fresh Goat Milk, Purple Brazilian Clay. <strong>Scented with Lavender essential oil.</strong></p>
<meta charset=""UTF-8"">
<p><span><strong>Size:</strong></span></p>
<p><span></span><strong>• </strong>these bars weigh about 5-6 oz in weight</p>
<p> </p>
<p><strong>TIPS FOR EXTENDING THE LIFE OF YOUR SOAP</strong></p>
<p><span>Place your soap in a dish that drains (not flat on the tile or in a non-draining dish!) and ensure that it doesn't get wet between uses. This is optional, but it will definitely make your soap last longer.</span></p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/EEE0E99E-1900-4031-B1DE-5BF386F90FBF.jpg?v=1740431680,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
goat-milk-oatmeal,"Oats, Milk & Honey","<p><strong>**This bar is fragrance free to accommodate soap lovers with sensitive skin**</strong></p>
<p><span>This Oats, Milk and Honey soap has so many wonderful benefits, it’s </span><span>wonderful for sensitive skin. It provides excellent, gentle exfoliation, is a natural cleanser, soothes itchy, irritated skin and can even help absorb oil for oily skin types. This soap is </span><span>handmade to pamper your skin with natural goodness. Each bar is infused with wholesome oatmeal, known for its soothing and exfoliating properties, gently buffing away dead skin cells while nourishing your skin with a rich blend of vitamins and minerals. This is perfect for sensitive skin, our oatmeal soap provides a luxurious lather that cleanses without stripping moisture, leaving your skin feeling soft, hydrated, and delicately scented.</span></p>
<p><span>Treat yourself to a spa-like experience every day with our oatmeal soap, crafted with care for a truly radiant glow.</span></p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>INGREDIENTS:</strong></span></p>
<p><span style=""text-decoration: underline;""></span>Olive Oil, Coconut Oil, Goat Milk, Distilled Water, Sodium Hydroxide, Shea Butter, Cocoa Butter, Avocado Oil, Castor Oil, Colloidal oatmeal and topped with whole oats </p>
<div class=""product-single__description rte"">
<p><span><strong>Size:</strong></span></p>
<p><span></span><strong>• </strong>these bars weigh about 5-6 oz in weight</p>
<p> </p>
<p><strong>TIPS FOR EXTENDING THE LIFE OF YOUR SOAP</strong></p>
<p><span>Place your soap in a dish that drains (not flat on the tile or in a non-draining dish!) and ensure that it doesn't get wet between uses. This is optional, but it will definitely make your soap last longer.</span></p>
</div>
<p><strong> </strong></p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/67A29926-2863-4193-A046-2ACBEC37FDB7.jpg?v=1738733063,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,active
goat-milk-oatmeal,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/7409C53E-6595-4A08-810B-A10B8C445A42.jpg?v=1738733063,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goat-milk-oatmeal,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/9FA1BC26-9D1C-44D5-91AE-607923BDC243.jpg?v=1738733063,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goat-milk-oatmeal,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/A31D255F-9408-46B9-8394-7D27FFE9AB00.jpg?v=1738733063,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aloe-avocado-spearmint,Aloe Avocado + Spearmint,"<p><span style=""text-decoration: underline;""><strong>Ingredients:</strong></span></p>
<p><span style=""text-decoration: underline;""></span>Olive Oil, Coconut Oil, Distilled Water, Sodium Hydroxide (Lye) Avocado Oil, Castor Oil, Aloe,  Cocoa Butter, Avocado Butter, French clay, Spirulina powder, Lime, Rosemary, Spearmint, peppermint, poppyseeds </p>
<p><strong>5-6 oz Bar</strong></p>
<p><span style=""text-decoration: underline;""><strong>Key Ingredients and a few of its benefits:</strong></span></p>
<p><strong>Avocado Butter </strong>has many benefits for skin, it’s rich in fatty acids which deeply hydrates the skin and makes it soft. It contains antioxidants and vitamins A,D and E which can help reduce the signs of aging like wrinkles and age spots. It can help prevent sun damage and soothe irritated skin from sunburn and shaving. It can help control acne or breakouts.  <br><br></p>
<p><strong>Spearmint </strong>can relieve skin irritation such as itchiness, insect bites and skin condition such as athlete’s foot. It helps fight acne-causing bacteria. Also can unclog skin and promote its cleansing while <strong></strong>leaving your skin feeling<strong> cool and refreshed. <br></strong></p>
<p><strong>lime </strong>kills bacteria and fungus in the skin. It also, tones and tightens the skin</p>
<p> </p>
<p><span style=""text-decoration: underline;""><strong>HOW TO MAKE YOUR SOAP LAST LONGER</strong></span></p>
<p><span>Place your soap on a wooden or any soap dish that drains (not flat on a tile or in a non-draining dish) it will definitely make your soap last longer.</span></p>",BWM Cosmetics,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/68473ED4-6A6B-4CB5-92AE-C6B2215EC3AF.jpg?v=1732918377,1,"",false,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,lb,,,true,,,active
wild-lavender,Wild Lavender (Exfoliating Bar),"<p><span><strong>Wild Lavender</strong> is an all-natural, vegan, and palm-oil free soap bar made with coconut milk for an amazingly creamy and gentle lather. This bar is quite exfoliating, due to the sandalwood powder. Leaving your skin feeling smooth, and it smells amazing.</span></p>
<p><strong>SCENT</strong></p>
<p>Woodsy Lavender </p>
<p><span><strong>INGREDIENTS</strong> </span></p>
<p><span>Olive Oil, Coconut Oil, Organic Cocoa Butter, Coconut Milk, Distilled Water, Sodium Hydroxide, Avocado Oil, Castor Oil, Essential Oil Blends of lavender,  fir needle,  patchouli, juniper berry Brazilian Clay, Sandalwood Powder.</span></p>
<p><span><strong>SIZE</strong> </span></p>
<p>5-6 oz</p>
<p><strong>TIPS FOR EXTENDING THE LIFE OF YOUR SOAP</strong></p>
<p><span>Place your soap in a dish that drains (not flat on the tile or in a non-draining dish. It will definitely make the soap last longer. </span></p>",BWM Cosmetics,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0857/2570/8562/files/9700AAFF-401F-434F-8407-3E2F634828FD.jpg?v=1733113373,1,"",false,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,lb,,,true,,,active
